Latitude (decimal degrees):	19.718
Longitude (decimal degrees):	-71.356
Elevation (m):	101
Radiation database:	PVGIS-ERA5


Slope: 12 deg. 
Azimuth: -179 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	8.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0030,0.0,0.0,0.0,24.69,4.48,0.0
20230101:0130,0.0,0.0,0.0,24.07,4.28,0.0
20230101:0230,0.0,0.0,0.0,23.6,4.07,0.0
20230101:0330,0.0,0.0,0.0,23.33,3.72,0.0
20230101:0430,0.0,0.0,0.0,22.86,3.38,0.0
20230101:0530,0.0,0.0,0.0,22.42,3.03,0.0
20230101:0630,0.0,0.0,0.0,22.04,2.69,0.0
20230101:0730,0.0,0.0,0.0,21.71,2.62,0.0
20230101:0830,0.0,0.0,0.0,21.45,2.41,0.0
20230101:0930,0.0,0.0,0.0,21.25,2.48,0.0
20230101:1030,0.0,0.0,0.0,21.12,2.62,0.0
20230101:1130,2.31,10.87,1.31,20.93,2.76,0.0
20230101:1230,64.53,120.5,13.79,21.24,2.55,0.0
20230101:1330,215.16,286.78,25.37,23.45,3.03,0.0
20230101:1430,344.8,424.37,35.48,25.55,3.59,0.0
20230101:1530,454.14,550.4,43.14,27.09,3.93,0.0
20230101:1630,499.76,606.3,47.03,28.49,4.28,0.0
20230101:1730,473.79,577.83,46.11,29.41,4.34,0.0
20230101:1830,369.56,454.96,40.66,29.83,4.55,0.0
20230101:1930,233.54,299.87,31.94,29.21,4.62,0.0
20230101:2030,133.09,195.39,21.19,28.6,4.69,0.0
20230101:2130,17.61,49.4,9.23,27.64,4.76,0.0
20230101:2230,0.0,0.0,-3.48,26.15,4.41,0.0
20230101:2330,0.0,0.0,0.0,24.62,4.41,0.0
20230102:0030,0.0,0.0,0.0,23.78,4.07,0.0
20230102:0130,0.0,0.0,0.0,23.22,3.66,0.0
20230102:0230,0.0,0.0,0.0,22.73,3.17,0.0
20230102:0330,0.0,0.0,0.0,22.41,2.69,0.0
20230102:0430,0.0,0.0,0.0,22.0,2.34,0.0
20230102:0530,0.0,0.0,0.0,21.72,2.21,0.0
20230102:0630,0.0,0.0,0.0,21.54,2.21,0.0
20230102:0730,0.0,0.0,0.0,21.43,2.83,0.0
20230102:0830,0.0,0.0,0.0,21.21,2.83,0.0
20230102:0930,0.0,0.0,0.0,21.15,2.83,0.0
20230102:1030,0.0,0.0,0.0,21.07,2.76,0.0
20230102:1130,1.88,10.03,1.25,21.03,2.76,0.0
20230102:1230,61.43,112.57,13.74,21.3,2.55,0.0
20230102:1330,180.07,240.27,25.34,23.4,3.1,0.0
20230102:1430,339.16,416.28,35.48,25.19,3.72,0.0
20230102:1530,453.3,548.59,43.18,27.09,4.14,0.0
20230102:1630,453.67,549.54,47.1,28.65,4.28,0.0
20230102:1730,472.06,575.57,46.22,29.55,4.28,0.0
20230102:1830,381.4,469.99,40.79,30.12,4.48,0.0
20230102:1930,264.63,338.39,32.07,29.62,5.24,0.0
20230102:2030,122.62,183.24,21.33,28.58,5.66,0.0
20230102:2130,21.23,55.37,9.36,27.16,5.86,0.0
20230102:2230,0.0,0.0,-3.36,25.7,5.1,0.0
20230102:2330,0.0,0.0,0.0,24.74,4.76,0.0
20230103:0030,0.0,0.0,0.0,24.07,4.21,0.0
20230103:0130,0.0,0.0,0.0,23.41,3.86,0.0
20230103:0230,0.0,0.0,0.0,22.99,3.45,0.0
20230103:0330,0.0,0.0,0.0,22.44,3.17,0.0
20230103:0430,0.0,0.0,0.0,22.03,3.03,0.0
20230103:0530,0.0,0.0,0.0,21.68,2.97,0.0
20230103:0630,0.0,0.0,0.0,21.38,2.9,0.0
20230103:0730,0.0,0.0,0.0,21.29,2.97,0.0
20230103:0830,0.0,0.0,0.0,21.03,2.83,0.0
20230103:0930,0.0,0.0,0.0,20.89,2.76,0.0
20230103:1030,0.0,0.0,0.0,20.84,2.76,0.0
20230103:1130,2.37,10.96,1.19,20.77,2.83,0.0
20230103:1230,62.68,118.08,13.69,21.06,2.69,0.0
20230103:1330,215.61,285.21,25.31,23.08,3.72,0.0
20230103:1430,346.2,422.09,35.48,24.94,4.97,0.0
20230103:1530,446.03,534.74,43.22,26.26,5.24,0.0
20230103:1630,424.51,508.65,47.18,27.55,5.52,0.0
20230103:1730,467.52,562.36,46.33,28.15,5.66,0.0
20230103:1830,419.0,509.82,40.92,28.77,5.86,0.0
20230103:1930,315.02,398.62,32.21,28.85,5.79,0.0
20230103:2030,159.78,235.63,21.46,28.56,6.0,0.0
20230103:2130,22.65,62.17,9.49,27.58,5.93,0.0
20230103:2230,0.0,0.0,-3.23,26.07,5.24,0.0
20230103:2330,0.0,0.0,0.0,24.55,4.9,0.0
20230104:0030,0.0,0.0,0.0,23.7,4.76,0.0
20230104:0130,0.0,0.0,0.0,23.09,4.41,0.0
20230104:0230,0.0,0.0,0.0,22.62,3.93,0.0
20230104:0330,0.0,0.0,0.0,22.21,3.45,0.0
20230104:0430,0.0,0.0,0.0,21.74,3.17,0.0
20230104:0530,0.0,0.0,0.0,21.25,3.03,0.0
20230104:0630,0.0,0.0,0.0,20.9,2.83,0.0
20230104:0730,0.0,0.0,0.0,20.82,2.9,0.0
20230104:0830,0.0,0.0,0.0,20.71,2.76,0.0
20230104:0930,0.0,0.0,0.0,20.48,2.55,0.0
20230104:1030,0.0,0.0,0.0,20.2,2.62,0.0
20230104:1130,2.33,10.87,1.14,19.89,2.62,0.0
20230104:1230,65.46,121.46,13.65,20.16,2.28,0.0
20230104:1330,204.83,272.25,25.3,22.52,2.62,0.0
20230104:1430,350.06,426.38,35.49,24.19,4.28,0.0
20230104:1530,387.04,464.14,43.26,25.83,5.1,0.0
20230104:1630,460.65,551.21,47.27,26.64,5.03,0.0
20230104:1730,450.46,541.42,46.45,27.53,5.03,0.0
20230104:1830,350.34,426.37,41.06,28.18,5.31,0.0
20230104:1930,274.32,347.68,32.35,28.46,5.45,0.0
20230104:2030,149.61,219.43,21.6,28.15,5.38,0.0
20230104:2130,23.19,62.62,9.62,27.46,5.45,0.0
20230104:2230,0.0,0.0,-3.1,26.14,5.17,0.0
20230104:2330,0.0,0.0,0.0,24.69,5.1,0.0
20230105:0030,0.0,0.0,0.0,23.87,5.03,0.0
20230105:0130,0.0,0.0,0.0,23.25,4.9,0.0
20230105:0230,0.0,0.0,0.0,22.65,4.83,0.0
20230105:0330,0.0,0.0,0.0,22.19,4.55,0.0
20230105:0430,0.0,0.0,0.0,21.91,4.28,0.0
20230105:0530,0.0,0.0,0.0,21.7,3.93,0.0
20230105:0630,0.0,0.0,0.0,21.55,3.93,0.0
20230105:0730,0.0,0.0,0.0,21.52,4.21,0.0
20230105:0830,0.0,0.0,0.0,21.37,4.14,0.0
20230105:0930,0.0,0.0,0.0,21.05,4.21,0.0
20230105:1030,0.0,0.0,0.0,20.98,4.28,0.0
20230105:1130,1.73,9.74,1.08,21.06,4.34,0.0
20230105:1230,60.6,113.04,13.62,21.54,4.14,0.0
20230105:1330,199.13,262.1,25.28,23.13,5.1,0.0
20230105:1430,348.88,423.76,35.5,24.83,6.0,0.0
