ws,wd
9.8,87
8.4,86
7.1,87
6.4,97
6.3,113
5.5,124
4.5,132
3.9,124
3.7,112
3.3,106
2.4,87
1.9,50
3.8,94
2.4,116
1.7,108
1.5,81
2.9,50
4.2,38
5.5,31
7.3,31
9.2,39
8.3,55
8.0,62
8.1,68
7.8,69
7.3,76
6.4,80
5.7,86
5.1,98
5.0,113
4.4,123
3.3,132
2.3,138
1.3,143
1.0,112
1.1,59
2.3,46
2.4,52
3.3,64
3.5,74
4.4,67
6.8,57
7.2,65
7.4,73
7.5,79
7.1,80
7.2,70
8.6,62
9.7,65
10.3,70
10.1,72
10.1,71
9.9,69
9.7,70
9.4,71
9.0,71
8.8,70
8.7,73
8.4,78
8.1,81
6.5,83
6.7,92
7.3,88
7.6,81
7.3,75
7.0,67
7.7,53
9.4,42
10.3,43
9.9,52
9.0,62
8.8,62
8.8,64
8.4,67
8.3,69
8.2,70
7.7,73
7.3,75
7.1,78
7.1,83
7.1,88
7.1,94
6.9,98
6.8,97
6.2,94
4.3,96
4.4,88
4.5,79
5.5,57
7.4,46
8.3,40
8.6,38
8.6,40
7.9,45
7.2,51
7.0,59
7.3,64
6.9,70
6.6,74
6.5,75
6.6,77
6.5,82
6.2,88
5.5,93
5.1,97
5.0,100
5.2,103
4.9,101
4.5,88
4.5,92
5.0,93
4.8,88
4.1,76
6.3,40
9.4,36
9.3,41
8.8,47
7.8,62
7.6,75
8.2,79
8.4,77
8.7,86
9.2,98
8.5,106
6.7,109
5.6,99
5.5,89
6.6,100
6.7,111
6.3,115
5.2,117
4.8,111
5.1,104
4.4,107
4.2,106
3.9,92
3.3,82
4.1,54
7.7,39
8.1,41
7.7,51
7.0,62
6.9,64
8.0,81
8.5,96
8.0,95
8.2,87
8.4,86
8.3,88
7.6,90
6.9,92
6.9,93
6.8,96
6.3,95
6.0,95
5.6,90
5.2,80
4.4,91
4.8,87
5.3,81
5.4,73
6.0,62
7.6,52
9.0,48
8.5,59
8.7,65
8.5,66
9.3,72
9.1,78
8.7,84
8.5,84
8.9,83
9.3,81
9.3,83
8.8,88
8.0,93
7.3,96
6.8,98
6.3,102
5.6,102
5.4,97
3.9,97
4.5,90
4.7,81
3.9,68
7.2,37
8.5,36
8.9,39
8.9,43
8.4,50
8.2,58
8.4,63
8.5,68
8.2,73
7.8,76
7.4,82
7.0,89
6.3,97
5.5,108
4.5,113
4.0,117
3.9,121
3.6,119
3.5,115
3.6,110
2.3,115
2.1,120
1.8,125
1.5,118
1.5,47
3.8,30
4.2,23
5.6,22
6.7,24
7.5,36
7.0,52
5.3,74
5.1,88
4.8,103
5.0,119
3.7,131
2.1,146
1.1,169
1.3,195
1.8,203
1.8,205
1.7,207
1.4,203
1.1,191
0.8,201
1.3,251
1.8,268
3.1,300
4.9,339
6.2,345
5.9,350
4.7,353
3.9,358
3.4,4
3.4,20
3.5,39
2.8,70
2.2,88
2.0,121
1.5,164
1.4,217
2.2,243
1.9,232
1.8,207
2.2,184
2.3,164
2.5,150
2.7,148
1.9,132
1.1,129
0.7,149
1.1,256
3.4,307
5.3,341
6.2,354
6.7,7
7.0,19
7.1,30
7.2,42
7.0,49
6.8,56
6.6,65
6.3,77
5.6,89
4.6,97
3.5,102
2.7,107
2.4,109
2.5,117
2.5,130
2.5,133
1.9,126
1.5,103
1.7,85
2.1,68
3.6,25
5.3,32
6.3,32
7.2,33
7.6,35
8.0,38
7.6,44
8.3,44
8.9,49
8.7,57
8.1,70
7.6,82
7.0,89
6.6,91
6.9,98
6.9,108
6.1,110
5.9,104
6.6,103
7.1,106
6.5,108
4.8,108
5.1,102
5.7,90
6.7,84
6.9,81
7.1,78
7.7,75
8.4,71
8.9,67
9.6,63
10.5,61
10.8,67
10.5,73
10.3,76
9.9,77
9.2,78
8.3,84
7.8,91
7.4,97
7.1,104
6.6,111
6.1,114
5.9,116
5.5,115
4.2,112
3.8,103
4.2,92
5.1,79
5.1,81
5.2,77
6.2,65
7.1,62
8.0,59
8.5,56
9.2,55
10.0,61
9.7,71
9.4,80
8.9,86
8.5,90
7.9,96
